iter	Passed	Remaining
0	17	17754
1	35	17715
2	51	16987
3	68	17059
4	83	16648
5	102	16968
6	120	17071
7	139	17253
8	160	17644
9	180	17917
10	200	18029
11	219	18065
12	238	18127
13	256	18087
14	277	18202
15	296	18244
16	314	18213
17	336	18354
18	352	18194
19	368	18058
20	384	17918
21	399	17781
22	415	17668
23	431	17563
24	449	17522
25	466	17465
26	483	17425
27	501	17404
28	518	17376
29	539	17442
30	558	17462
31	579	17530
32	596	17492
33	615	17476
34	638	17592
35	656	17572
36	672	17511
37	691	17508
38	708	17447
39	725	17409
40	741	17349
41	758	17304
42	774	17235
43	790	17168
44	805	17103
45	821	17035
46	839	17017
47	858	17025
48	876	17006
49	894	17000
50	912	16970
51	930	16954
52	948	16948
53	968	16961
54	986	16954
55	1004	16935
56	1021	16902
57	1037	16845
58	1053	16809
59	1069	16761
60	1085	16709
61	1100	16653
62	1116	16605
63	1134	16594
64	1150	16548
65	1167	16516
66	1184	16494
67	1200	16455
68	1218	16435
69	1233	16389
70	1249	16346
71	1266	16324
72	1283	16292
73	1298	16249
74	1314	16209
75	1330	16170
76	1345	16127
77	1362	16107
78	1379	16081
79	1395	16042
80	1410	16003
81	1425	15955
82	1438	15893
83	1454	15864
84	1470	15826
85	1486	15802
86	1502	15766
87	1517	15723
88	1535	15719
89	1551	15683
90	1566	15649
91	1583	15630
92	1598	15592
93	1614	15562
94	1631	15544
95	1646	15508
96	1662	15473
97	1678	15446
98	1695	15428
99	1712	15412
100	1731	15411
101	1749	15402
102	1767	15394
103	1787	15402
104	1806	15399
105	1825	15393
106	1843	15384
107	1860	15365
108	1875	15327
109	1892	15312
110	1908	15281
111	1923	15249
112	1939	15224
113	1955	15200
114	1971	15170
115	1987	15147
116	2003	15117
117	2020	15101
118	2036	15077
119	2051	15047
120	2067	15018
121	2081	14982
122	2096	14948
123	2116	14953
124	2134	14941
125	2153	14938
126	2175	14953
127	2192	14939
128	2211	14932
129	2229	14923
130	2252	14940
131	2317	15236
132	2376	15493
133	2456	15874
134	2482	15909
135	2526	16049
136	2545	16033
137	2561	15998
138	2574	15947
139	2589	15907
140	2604	15868
141	2622	15844
142	2639	15819
143	2656	15789
144	2671	15755
145	2687	15719
146	2702	15684
147	2726	15693
